"DriverName","Points","Wins","LapsLead"
"Lewis Hamilton","347","11","613"
"Valtteri Bottas","223","2","188"
"Max Verstappen","214","2","87"
"Sergio Perez","125","1","26"
"Daniel Riccardo","119","0","0"
"Carlos Sainz","105","0","5"
"Alexander Albon","105","0","1"
"Charles Leclerc","98","0","0"
"Lando Norris","97","0","0"
"Pierre Gasly","75","1","26"
"Lance Stroll","75","0","32"
"Esteban Ocon","62","0","0"
"Sebastian Vettel","33","0","0"
"Daniil Kvyat","32","0","0"
"Nico Hulkenberg","10","0","0"
"Kimi Räikkönen","4","0","0"
"Antonio Geovinazzi","4","0","0"
"George Russell","3","0","59"
"Romain Grosjean","2","0","0"
"Kevin Magnussen","1","0","0"
"Nicholas Latifi","0","0","0"
"Jack Aitken","0","0","0"
"Pietro Fittipaldi","0","0","0"
"","","",""
